,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,CEAR,1,1,Atenciones de urgencia - Total,121,21,21,9,59,11
1,CEAR,1,2,Atenciones de urgencia - Total Respiratorios,45,18,10,3,11,3
2,CEAR,1,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),22,11,9,1,1,0
3,CEAR,1,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
4,CEAR,1,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
5,CEAR,1,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,1,0,0,0,0
6,CEAR,1,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
7,CEAR,1,10,Atenciones de urgencia - IRA Alta (J00-J06),20,6,1,2,10,1
8,CEAR,1,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2
9,CEAR,1,25,Hospitalizaciones - Total,0,0,0,0,0,0
10,CEAR,1,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",2,0,0,1,1,0
11,CEAR,1,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",64,2,11,3,42,6
12,CEAR,1,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
13,CEAR,1,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
14,CEAR,2,1,Atenciones de urgencia - Total,176,7,39,13,99,18
15,CEAR,2,2,Atenciones de urgencia - Total Respiratorios,31,6,13,3,7,2
16,CEAR,2,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),13,2,10,0,1,0
17,CEAR,2,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
18,CEAR,2,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,1,0,0,0
19,CEAR,2,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,1,0,0,0,0
20,CEAR,2,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
21,CEAR,2,10,Atenciones de urgencia - IRA Alta (J00-J06),15,3,2,3,5,2
22,CEAR,2,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,1,0
23,CEAR,2,25,Hospitalizaciones - Total,0,0,0,0,0,0
24,CEAR,2,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",16,0,2,2,10,2
25,CEAR,2,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",109,0,21,7,67,14
26,CEAR,2,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
27,CEAR,2,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
28,CEAR,3,1,Atenciones de urgencia - Total,201,7,18,15,133,28
29,CEAR,3,2,Atenciones de urgencia - Total Respiratorios,30,4,10,3,7,6
30,CEAR,3,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),11,1,7,0,1,2
31,CEAR,3,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
32,CEAR,3,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,1,0,0,2
33,CEAR,3,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
34,CEAR,3,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
35,CEAR,3,10,Atenciones de urgencia - IRA Alta (J00-J06),13,3,2,3,5,0
36,CEAR,3,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,1,1
37,CEAR,3,25,Hospitalizaciones - Total,0,0,0,0,0,0
38,CEAR,3,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",37,0,0,4,30,3
