,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,CEAR,20,1,Atenciones de urgencia - Total,0,0,0,0,0,0
1,CEAR,20,2,Atenciones de urgencia - Total Respiratorios,0,0,0,0,0,0
2,CEAR,20,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),0,0,0,0,0,0
3,CEAR,20,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
4,CEAR,20,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
5,CEAR,20,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
6,CEAR,20,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
7,CEAR,20,10,Atenciones de urgencia - IRA Alta (J00-J06),0,0,0,0,0,0
8,CEAR,20,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
9,CEAR,20,25,Hospitalizaciones - Total,0,0,0,0,0,0
10,CEAR,20,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",0,0,0,0,0,0
11,CEAR,20,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",0,0,0,0,0,0
12,CEAR,20,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
13,CEAR,20,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
14,CEAR,21,1,Atenciones de urgencia - Total,65,2,2,8,51,2
15,CEAR,21,2,Atenciones de urgencia - Total Respiratorios,12,2,2,3,5,0
16,CEAR,21,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),1,0,1,0,0,0
17,CEAR,21,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,1,0,0
18,CEAR,21,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,2,0
19,CEAR,21,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",6,1,1,1,3,0
20,CEAR,21,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
21,CEAR,21,10,Atenciones de urgencia - IRA Alta (J00-J06),1,1,0,0,0,0
22,CEAR,21,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,1,0,0
23,CEAR,21,25,Hospitalizaciones - Total,0,0,0,0,0,0
24,CEAR,21,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",10,0,0,3,7,0
25,CEAR,21,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",43,0,0,2,39,2
26,CEAR,21,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
27,CEAR,21,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
28,CEAR,22,1,Atenciones de urgencia - Total,72,2,1,1,53,15
29,CEAR,22,2,Atenciones de urgencia - Total Respiratorios,7,1,0,0,5,1
30,CEAR,22,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),1,1,0,0,0,0
31,CEAR,22,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
32,CEAR,22,5,Atenciones de urgencia - Neumonía (J12-J18),0,0,0,0,0,0
33,CEAR,22,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
34,CEAR,22,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
35,CEAR,22,10,Atenciones de urgencia - IRA Alta (J00-J06),5,0,0,0,5,0
36,CEAR,22,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),0,0,0,0,0,0
37,CEAR,22,25,Hospitalizaciones - Total,0,0,0,0,0,0
