,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,CEAR,1,1,Atenciones de urgencia - Total,97,8,14,9,46,20
1,CEAR,1,2,Atenciones de urgencia - Total Respiratorios,35,3,8,2,12,10
2,CEAR,1,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),10,2,5,0,2,1
3,CEAR,1,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,0,1,0
4,CEAR,1,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,0,0,1,3
5,CEAR,1,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
6,CEAR,1,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
7,CEAR,1,10,Atenciones de urgencia - IRA Alta (J00-J06),18,1,3,2,8,4
8,CEAR,1,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,0,1
9,CEAR,1,25,Hospitalizaciones - Total,0,0,0,0,0,0
10,CEAR,1,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",28,1,0,1,23,3
11,CEAR,1,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",23,4,5,3,7,4
12,CEAR,1,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
13,CEAR,1,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
14,CEAR,2,1,Atenciones de urgencia - Total,86,4,17,10,40,15
15,CEAR,2,2,Atenciones de urgencia - Total Respiratorios,28,1,4,4,11,8
16,CEAR,2,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),4,1,2,0,1,0
17,CEAR,2,4,Atenciones de urgencia - Influenza (J09-J11),2,0,0,0,2,0
18,CEAR,2,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,1,1
19,CEAR,2,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,0,0,1,1
20,CEAR,2,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
21,CEAR,2,10,Atenciones de urgencia - IRA Alta (J00-J06),12,0,2,4,4,2
22,CEAR,2,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),6,0,0,0,2,4
23,CEAR,2,25,Hospitalizaciones - Total,0,0,0,0,0,0
24,CEAR,2,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",27,1,1,0,21,4
25,CEAR,2,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",24,0,11,6,5,2
26,CEAR,2,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
27,CEAR,2,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
28,CEAR,3,1,Atenciones de urgencia - Total,68,4,17,9,29,9
29,CEAR,3,2,Atenciones de urgencia - Total Respiratorios,27,3,10,3,7,4
30,CEAR,3,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),8,1,4,1,1,1
31,CEAR,3,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,0,1,0
32,CEAR,3,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,1,0,1,1
33,CEAR,3,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
34,CEAR,3,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
35,CEAR,3,10,Atenciones de urgencia - IRA Alta (J00-J06),13,2,5,2,4,0
36,CEAR,3,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2
37,CEAR,3,25,Hospitalizaciones - Total,0,0,0,0,0,0
38,CEAR,3,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",7,0,1,1,5,0
39,CEAR,3,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",26,0,4,4,15,3
40,CEAR,3,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
41,CEAR,3,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
42,CEAR,4,1,Atenciones de urgencia - Total,57,5,12,5,22,13
43,CEAR,4,2,Atenciones de urgencia - Total Respiratorios,25,3,6,3,6,7
44,CEAR,4,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),4,2,1,0,1,0
45,CEAR,4,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,0,1,0
46,CEAR,4,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,0,0,0,3
47,CEAR,4,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",3,1,0,0,1,1
48,CEAR,4,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
49,CEAR,4,10,Atenciones de urgencia - IRA Alta (J00-J06),11,0,5,3,3,0
50,CEAR,4,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),3,0,0,0,0,3
51,CEAR,4,25,Hospitalizaciones - Total,0,0,0,0,0,0
52,CEAR,4,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",8,0,0,1,6,1
53,CEAR,4,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",13,1,2,1,8,1
54,CEAR,4,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
55,CEAR,4,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
56,CEAR,5,1,Atenciones de urgencia - Total,32,2,6,3,12,9
57,CEAR,5,2,Atenciones de urgencia - Total Respiratorios,6,0,1,0,2,3
58,CEAR,5,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),1,0,1,0,0,0
59,CEAR,5,4,Atenciones de urgencia - Influenza (J09-J11),0,0,0,0,0,0
60,CEAR,5,5,Atenciones de urgencia - Neumonía (J12-J18),1,0,0,0,0,1
