GLOSATIPOESTABLECIMIENTO,semana_epi_str,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
CEAR,01-2023,1,Atenciones de urgencia - Total,97,8,14,9,46,20
CEAR,01-2023,2,Atenciones de urgencia - Total Respiratorios,35,3,8,2,12,10
CEAR,01-2023,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),10,2,5,0,2,1
CEAR,01-2023,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,0,1,0
CEAR,01-2023,5,Atenciones de urgencia - Neumonía (J12-J18),4,0,0,0,1,3
CEAR,01-2023,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",1,0,0,0,0,1
CEAR,01-2023,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
CEAR,01-2023,10,Atenciones de urgencia - IRA Alta (J00-J06),18,1,3,2,8,4
CEAR,01-2023,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),1,0,0,0,0,1
CEAR,01-2023,25,Hospitalizaciones - Total,0,0,0,0,0,0
CEAR,01-2023,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",28,1,0,1,23,3
CEAR,01-2023,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",23,4,5,3,7,4
CEAR,01-2023,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
CEAR,01-2023,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
CEAR,02-2023,1,Atenciones de urgencia - Total,86,4,17,10,40,15
CEAR,02-2023,2,Atenciones de urgencia - Total Respiratorios,28,1,4,4,11,8
CEAR,02-2023,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),4,1,2,0,1,0
CEAR,02-2023,4,Atenciones de urgencia - Influenza (J09-J11),2,0,0,0,2,0
CEAR,02-2023,5,Atenciones de urgencia - Neumonía (J12-J18),2,0,0,0,1,1
CEAR,02-2023,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",2,0,0,0,1,1
CEAR,02-2023,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
CEAR,02-2023,10,Atenciones de urgencia - IRA Alta (J00-J06),12,0,2,4,4,2
CEAR,02-2023,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),6,0,0,0,2,4
CEAR,02-2023,25,Hospitalizaciones - Total,0,0,0,0,0,0
CEAR,02-2023,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",27,1,1,0,21,4
CEAR,02-2023,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",24,0,11,6,5,2
CEAR,02-2023,32,Hospitalizaciones - Covid-19 Identificado (U7.1),0,0,0,0,0,0
CEAR,02-2023,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),0,0,0,0,0,0
CEAR,03-2023,1,Atenciones de urgencia - Total,68,4,17,9,29,9
CEAR,03-2023,2,Atenciones de urgencia - Total Respiratorios,27,3,10,3,7,4
CEAR,03-2023,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),8,1,4,1,1,1
CEAR,03-2023,4,Atenciones de urgencia - Influenza (J09-J11),1,0,0,0,1,0
CEAR,03-2023,5,Atenciones de urgencia - Neumonía (J12-J18),3,0,1,0,1,1
CEAR,03-2023,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",0,0,0,0,0,0
CEAR,03-2023,7,Hospitalizaciones - Sistema Respiratorio,0,0,0,0,0,0
CEAR,03-2023,10,Atenciones de urgencia - IRA Alta (J00-J06),13,2,5,2,4,0
CEAR,03-2023,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),2,0,0,0,0,2
CEAR,03-2023,25,Hospitalizaciones - Total,0,0,0,0,0,0
CEAR,03-2023,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",7,0,1,1,5,0
CEAR,03-2023,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",26,0,4,4,15,3
