,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,Hospital,1,1,Atenciones de urgencia - Total,36330,2236,4170,5586,17907,6431
1,Hospital,1,2,Atenciones de urgencia - Total Respiratorios,3543,640,889,736,790,488
2,Hospital,1,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),413,141,114,67,51,40
3,Hospital,1,4,Atenciones de urgencia - Influenza (J09-J11),62,1,4,14,34,9
4,Hospital,1,5,Atenciones de urgencia - Neumonía (J12-J18),351,25,59,49,89,129
5,Hospital,1,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",634,69,92,93,202,178
6,Hospital,1,7,Hospitalizaciones - Sistema Respiratorio,424,68,50,30,116,160
7,Hospital,1,10,Atenciones de urgencia - IRA Alta (J00-J06),1784,357,564,464,348,51
8,Hospital,1,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),299,47,56,49,66,81
9,Hospital,1,25,Hospitalizaciones - Total,4190,174,196,306,2013,1501
10,Hospital,1,30,"Atenciones de urgencia - Covid-19, Identificado (U07.1)",33,10,2,1,12,8
11,Hospital,1,31,"Atenciones de urgencia - Covid-19, No Identificado (U07.2)",71,15,18,7,11,20
12,Hospital,1,32,Hospitalizaciones - Covid-19 Identificado (U7.1),4,1,1,0,1,1
13,Hospital,1,33,Hospitalizaciones - Covid-19 No Identificado (U7.2),39,3,1,0,9,26
14,Hospital,2,1,Atenciones de urgencia - Total,28990,1661,3394,4498,14320,5117
15,Hospital,2,2,Atenciones de urgencia - Total Respiratorios,2666,488,651,533,597,397
16,Hospital,2,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),316,95,88,47,49,37
17,Hospital,2,4,Atenciones de urgencia - Influenza (J09-J11),39,0,2,4,14,19
18,Hospital,2,5,Atenciones de urgencia - Neumonía (J12-J18),231,24,32,23,62,90
19,Hospital,2,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",526,52,67,76,178,153
20,Hospital,2,7,Hospitalizaciones - Sistema Respiratorio,329,49,43,20,78,139
