,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,Hospital,1,1,Atenciones de urgencia - Total,33418,2755,5739,5729,13787,5408
1,Hospital,1,2,Atenciones de urgencia - Total Respiratorios,3435,723,1188,552,608,364
2,Hospital,1,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),512,176,216,39,51,30
3,Hospital,1,4,Atenciones de urgencia - Influenza (J09-J11),22,2,4,11,2,3
4,Hospital,1,5,Atenciones de urgencia - Neumonía (J12-J18),302,20,58,15,74,135
5,Hospital,1,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",451,49,82,54,171,95
6,Hospital,1,7,Hospitalizaciones - Sistema Respiratorio,238,32,34,16,67,89
7,Hospital,1,10,Atenciones de urgencia - IRA Alta (J00-J06),1911,444,769,407,248,43
8,Hospital,1,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),237,32,59,26,62,58
9,Hospital,1,25,Hospitalizaciones - Total,3089,196,177,261,1404,1051
10,Hospital,2,1,Atenciones de urgencia - Total,28266,2134,4725,4894,11701,4812
11,Hospital,2,2,Atenciones de urgencia - Total Respiratorios,2766,565,931,469,484,317
12,Hospital,2,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),431,137,175,43,52,24
13,Hospital,2,4,Atenciones de urgencia - Influenza (J09-J11),7,1,1,1,2,2
14,Hospital,2,5,Atenciones de urgencia - Neumonía (J12-J18),261,17,40,13,66,125
15,Hospital,2,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",384,47,77,74,121,65
16,Hospital,2,7,Hospitalizaciones - Sistema Respiratorio,237,43,30,16,59,89
17,Hospital,2,10,Atenciones de urgencia - IRA Alta (J00-J06),1495,337,604,313,196,45
18,Hospital,2,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),188,26,34,25,47,56
19,Hospital,2,25,Hospitalizaciones - Total,2760,184,178,211,1199,988
20,Hospital,3,1,Atenciones de urgencia - Total,27670,2027,4191,4620,12185,4647
21,Hospital,3,2,Atenciones de urgencia - Total Respiratorios,2536,537,785,426,487,301
22,Hospital,3,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),355,148,114,31,37,25
23,Hospital,3,4,Atenciones de urgencia - Influenza (J09-J11),12,2,0,4,6,0
24,Hospital,3,5,Atenciones de urgencia - Neumonía (J12-J18),249,19,29,14,77,110
25,Hospital,3,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",369,42,56,56,130,85
