,GLOSATIPOESTABLECIMIENTO,semana,IdCausa,Causa,Total,Menores_1,De_1_a_4,De_5_a_14,De_15_a_64,De_65_y_mas
0,Hospital,1,1,Atenciones de urgencia - Total,36179,2855,5866,5613,15681,6164
1,Hospital,1,2,Atenciones de urgencia - Total Respiratorios,3315,671,1186,483,565,410
2,Hospital,1,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),426,130,169,40,55,32
3,Hospital,1,4,Atenciones de urgencia - Influenza (J09-J11),20,2,4,7,6,1
4,Hospital,1,5,Atenciones de urgencia - Neumonía (J12-J18),345,25,61,19,75,165
5,Hospital,1,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",391,34,90,54,125,88
6,Hospital,1,7,Hospitalizaciones - Sistema Respiratorio,304,32,43,25,62,142
7,Hospital,1,10,Atenciones de urgencia - IRA Alta (J00-J06),1890,462,814,338,241,35
8,Hospital,1,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),243,18,48,25,63,89
9,Hospital,1,25,Hospitalizaciones - Total,3266,185,270,265,1351,1195
10,Hospital,2,1,Atenciones de urgencia - Total,30457,2414,4475,4567,13531,5470
11,Hospital,2,2,Atenciones de urgencia - Total Respiratorios,2631,570,773,445,518,325
12,Hospital,2,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),331,139,99,21,38,34
13,Hospital,2,4,Atenciones de urgencia - Influenza (J09-J11),25,1,7,6,9,2
14,Hospital,2,5,Atenciones de urgencia - Neumonía (J12-J18),228,16,27,12,66,107
15,Hospital,2,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",318,26,52,51,123,66
16,Hospital,2,7,Hospitalizaciones - Sistema Respiratorio,249,39,25,12,74,99
17,Hospital,2,10,Atenciones de urgencia - IRA Alta (J00-J06),1527,361,551,337,233,45
18,Hospital,2,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),202,27,37,18,49,71
19,Hospital,2,25,Hospitalizaciones - Total,2812,172,187,238,1167,1048
20,Hospital,3,1,Atenciones de urgencia - Total,29180,2328,4207,4122,13394,5129
21,Hospital,3,2,Atenciones de urgencia - Total Respiratorios,2543,607,785,387,479,285
22,Hospital,3,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),334,113,122,30,44,25
23,Hospital,3,4,Atenciones de urgencia - Influenza (J09-J11),9,1,5,2,1,0
24,Hospital,3,5,Atenciones de urgencia - Neumonía (J12-J18),260,14,26,16,88,116
25,Hospital,3,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",383,53,92,59,128,51
26,Hospital,3,7,Hospitalizaciones - Sistema Respiratorio,210,34,28,13,56,79
27,Hospital,3,10,Atenciones de urgencia - IRA Alta (J00-J06),1395,408,509,256,180,42
28,Hospital,3,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),162,18,31,24,38,51
29,Hospital,3,25,Hospitalizaciones - Total,2682,168,149,215,1179,971
30,Hospital,4,1,Atenciones de urgencia - Total,29536,2299,4155,4306,13458,5318
31,Hospital,4,2,Atenciones de urgencia - Total Respiratorios,2257,466,688,366,434,303
32,Hospital,4,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),259,98,81,22,35,23
33,Hospital,4,4,Atenciones de urgencia - Influenza (J09-J11),6,0,1,4,0,1
34,Hospital,4,5,Atenciones de urgencia - Neumonía (J12-J18),271,19,39,17,71,125
35,Hospital,4,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",302,15,54,55,116,62
36,Hospital,4,7,Hospitalizaciones - Sistema Respiratorio,229,32,23,17,58,99
37,Hospital,4,10,Atenciones de urgencia - IRA Alta (J00-J06),1258,322,487,246,177,26
38,Hospital,4,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),161,12,26,22,35,66
39,Hospital,4,25,Hospitalizaciones - Total,2737,210,153,216,1193,965
40,Hospital,5,1,Atenciones de urgencia - Total,28957,2205,3879,4319,13141,5413
41,Hospital,5,2,Atenciones de urgencia - Total Respiratorios,2309,456,674,376,492,311
42,Hospital,5,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),312,93,103,21,57,38
43,Hospital,5,4,Atenciones de urgencia - Influenza (J09-J11),8,2,1,2,3,0
44,Hospital,5,5,Atenciones de urgencia - Neumonía (J12-J18),237,8,37,11,75,106
45,Hospital,5,6,"Atenciones de urgencia - Otra causa respiratoria (J22, J30-J39, J47, J60-J98)",366,36,54,64,137,75
46,Hospital,5,7,Hospitalizaciones - Sistema Respiratorio,210,16,28,11,76,79
47,Hospital,5,10,Atenciones de urgencia - IRA Alta (J00-J06),1202,301,441,259,169,32
48,Hospital,5,11,Atenciones de urgencia - Crisis obstructiva bronquial (J40-J46),184,16,38,19,51,60
49,Hospital,5,25,Hospitalizaciones - Total,2637,160,151,215,1169,942
50,Hospital,6,1,Atenciones de urgencia - Total,28657,2172,3776,4077,12913,5719
51,Hospital,6,2,Atenciones de urgencia - Total Respiratorios,2329,466,605,365,504,389
52,Hospital,6,3,Atenciones de urgencia - Bronquitis/bronquiolitis aguda (J20-J21),302,101,90,23,50,38
